//
// Esta lista se usa para corregigir palabras en los nombres de 
// cualquier cosa poniendole la Ñ segun la version 3.1
//
// PosiblesPalabras(separados por '|'),Palabra Final
COLEGIO NUESTRA SENORA DE COROMOTO|COLEGIO NUESTRA SEÑORA DE COROMOTO
COLEGIO NUESTRA SENORA DE LAS NIEVES|COLEGIO NUESTRA SEÑORA DE LAS NIEVES
COLEGIO NUESTRA SENORA DE LOURDES|COLEGIO NUESTRA SEÑORA DE LOURDES
COLEGIO UNIV MONSENOR DE TALAVERA|COLEGIO UNIV MONSEÑOR DE TALAVERA
COMIENZO PASO DE MONTANA|COMIENZO PASO DE MONTAÑA
"COMPLEJO DEPORTIVO CULTURAL ""ALEJANDRO CERVINO""|COMPLEJO DEPORTIVO CULTURAL ""ALEJANDRO CERVIÑO"""
COMUNIDAD INDIGENA UASARANA|COMUNIDAD INDIGENA UASARAÑA
CONSULADO ESPANA|CONSULADO ESPAÑA
CRUCE CUMBO-PINANGO|CRUCE CUMBO-PIÑANGO
CRUCE DE CANO|CRUCE DE CAÑO
CRUCE LOMA DEL CUNO|CRUCE LOMA DEL CUÑO
CRUCE PINANGO|CRUCE PIÑANGO
CRUCE PINANGO-BURGOS|CRUCE PIÑANGO-BURGOS
CUNADO VENEZUELA (CUVENSA)|CUÑADO VENEZUELA (CUVENSA)
DIARIO ABC DE LA MANANA|DIARIO ABC DE LA MAÑANA
DISTRIBUIDORA PINACO|DISTRIBUIDORA PIÑACO
DIV. NINO|DIV. NIÑO
DONA RITA|DOÑA RITA
DOS SENORAS|DOS SEÑORAS
EB MANUEL MORALES CARABANO|EB MANUEL MORALES CARABAÑO
EL CANO|EL CAÑO
EL RUISENOR|EL RUISEÑOR
EMPENOS LOS DUQUES|EMPEÑOS LOS DUQUES
ENTRADA A BANADOR PALITAL|ENTRADA A BAÑADOR PALITAL
ENTRADA A CABANAS EL PARAISO|ENTRADA A CABAÑAS EL PARAISO
ENTRADA A CABANAS FINCA PRADO PARAISO|ENTRADA A CABAÑAS FINCA PRADO PARAISO
ENTRADA A LAS CABANAS DE PIEDRA|ENTRADA A LAS CABAÑAS DE PIEDRA
ENTRADA CANON LA LLOVIZNA|ENTRADA CAÑON LA LLOVIZNA
ESCUELA GRL.NICOLAS NICOLAS PATINO|ESCUELA GRL.NICOLAS NICOLAS PATIÑO
